::1 - - [20/May/2021:09:16:27 -0700] "GET /phpmyadmin/ HTTP/1.1" 200 7945
::1 - - [20/May/2021:09:16:28 -0700] "GET /phpmyadmin/phpmyadmin.css.php?server=1&token=ef818841c24f9005474ea8b05db7ecc1&nocache=4863809920ltr HTTP/1.1" 200 88608
::1 - - [20/May/2021:09:16:28 -0700] "GET /phpmyadmin/js/messages.php?lang=en&db=&server=0&token=2abaaea57af7062ffc6643a9c4146168 HTTP/1.1" 200 16674
::1 - - [20/May/2021:09:16:33 -0700] "POST /phpmyadmin/index.php HTTP/1.1" 302 -
::1 - - [20/May/2021:09:16:33 -0700] "GET /phpmyadmin/index.php?token=ef818841c24f9005474ea8b05db7ecc1 HTTP/1.1" 200 42535
::1 - - [20/May/2021:09:16:33 -0700] "GET /phpmyadmin/phpmyadmin.css.php?server=1&token=ef818841c24f9005474ea8b05db7ecc1&nocache=6485337313ltr HTTP/1.1" 200 88608
::1 - - [20/May/2021:09:16:33 -0700] "GET /phpmyadmin/js/messages.php?lang=en&db=&server=0&token=ef818841c24f9005474ea8b05db7ecc1 HTTP/1.1" 200 16674
::1 - - [20/May/2021:09:16:33 -0700] "GET /phpmyadmin/version_check.php?&_nocache=1621527393416425294 HTTP/1.1" 200 39
::1 - - [20/May/2021:09:16:37 -0700] "GET /phpmyadmin/navigation.php?ajax_request=1&token=ef818841c24f9005474ea8b05db7ecc1&aPath=cm9vdA%3D%3D.dGVzdA%3D%3D&vPath=cm9vdA%3D%3D.dGVzdA%3D%3D&pos=0&pos2_name=&pos2_value=&searchClause=&searchClause2=&_nocache=1621527397805208268 HTTP/1.1" 200 1336
::1 - - [20/May/2021:09:16:39 -0700] "GET /phpmyadmin/sql.php?server=1&db=test&table=jokes_table&pos=0&token=ef818841c24f9005474ea8b05db7ecc1&ajax_request=true&ajax_page_request=true&menuHashes=5b902375&_nocache=1621527399354981646 HTTP/1.1" 200 33711
::1 - - [20/May/2021:09:16:39 -0700] "GET /phpmyadmin/index.php?ajax_request=1&recent_table=1&token=ef818841c24f9005474ea8b05db7ecc1 HTTP/1.1" 200 214
::1 - - [20/May/2021:09:16:53 -0700] "GET / HTTP/1.1" 200 523
::1 - - [20/May/2021:09:16:53 -0700] "GET /favicon.ico HTTP/1.1" 404 209
::1 - - [20/May/2021:09:16:59 -0700] "GET /search_keyword.php?keyword=frog HTTP/1.1" 200 247
::1 - - [20/May/2021:09:17:04 -0700] "GET /add_joke.php?newjoke=Can+a+kangaroo+jump+higher+than+the+tall+building%3F&newanswer=Of+course%2C+the+building+can%27t+jump HTTP/1.1" 200 124
::1 - - [20/May/2021:09:17:09 -0700] "GET /phpmyadmin/sql.php?db=test&table=jokes_table&token=ef818841c24f9005474ea8b05db7ecc1&pos=0&ajax_request=true&ajax_page_request=true&menuHashes=5b902375-bfca2382&_nocache=1621527427525285295 HTTP/1.1" 200 30668
::1 - - [20/May/2021:09:17:09 -0700] "GET /phpmyadmin/index.php?ajax_request=1&recent_table=1&token=ef818841c24f9005474ea8b05db7ecc1 HTTP/1.1" 200 214
::1 - - [20/May/2021:09:20:20 -0700] "GET /phpmyadmin/tbl_export.php?db=test&table=jokes_table&token=ef818841c24f9005474ea8b05db7ecc1&single_table=true&ajax_request=true&ajax_page_request=true&menuHashes=5b902375-bfca2382&_nocache=1621527620614368413 HTTP/1.1" 200 36008
::1 - - [20/May/2021:09:20:20 -0700] "GET /phpmyadmin/js/get_scripts.js.php?scripts[]=export.js HTTP/1.1" 200 5954
::1 - - [20/May/2021:09:20:20 -0700] "GET /phpmyadmin/index.php?ajax_request=1&recent_table=1&token=ef818841c24f9005474ea8b05db7ecc1 HTTP/1.1" 200 214
::1 - - [20/May/2021:09:20:29 -0700] "POST /phpmyadmin/export.php HTTP/1.1" 200 489
::1 - - [20/May/2021:09:20:48 -0700] "GET /phpmyadmin/sql.php?db=test&table=jokes_table&token=ef818841c24f9005474ea8b05db7ecc1&pos=0&ajax_request=true&ajax_page_request=true&menuHashes=5b902375-bfca2382-8735809f&_nocache=162152764819299704 HTTP/1.1" 200 30668
::1 - - [20/May/2021:09:20:48 -0700] "GET /phpmyadmin/index.php?ajax_request=1&recent_table=1&token=ef818841c24f9005474ea8b05db7ecc1 HTTP/1.1" 200 214
::1 - - [20/May/2021:09:21:02 -0700] "GET /add_joke.php?newjoke=Can+a+kangaroo+jump+higher+than+the+tall+building%3F&newanswer=Of+course%2C+the+building+can%27t+jump HTTP/1.1" 200 124
::1 - - [20/May/2021:09:21:03 -0700] "GET /add_joke.php?newjoke=Can+a+kangaroo+jump+higher+than+the+tall+building%3F&newanswer=Of+course%2C+the+building+can%27t+jump HTTP/1.1" 200 124
::1 - - [20/May/2021:09:21:03 -0700] "GET /add_joke.php?newjoke=Can+a+kangaroo+jump+higher+than+the+tall+building%3F&newanswer=Of+course%2C+the+building+can%27t+jump HTTP/1.1" 200 124
